CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source
101000885397,07/23/2013 12:07:32 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,171 Trenton St  East Boston  MA  02128,1,09,1,A7,East Boston,1,Ward 1,109,R3,171 Trenton St,02128,42.38021,-71.03242,Self Service
101000884200,07/22/2013 09:22:26 AM,,Open,Case Closed VIOCOR: Violation Corrected ,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,69-71 Millet St  Dorchester  MA  02124,8,07,4,B3,Dorchester,9,Ward 17,1703,R3,69-71 Millet St,02124,42.29413,-71.07732,Constituent Call
101000882280,07/18/2013 12:44:14 PM,,Open,Case Closed VIOCOR: Violation Corrected ,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,919 Beacon St  Boston  MA  02215,,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 21,2101,CM,919 Beacon St,02215,42.34596,-71.10626,Self Service
101000879520,07/15/2013 11:34:50 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,1650 VFW Pkwy  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,Ward 20,2016,C,1650 VFW Pkwy,02132,42.264402,-71.16782,Constituent Call
101000877823,07/11/2013 08:14:08 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,1650 VFW Pkwy  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,Ward 20,2016,C,1650 VFW Pkwy,02132,42.264402,-71.16782,Constituent Call
101000875524,07/09/2013 09:36:28 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,256 Commonwealth Ave  Boston  MA  02116,4,1C,8,D4,Back Bay,14,Ward 5,508,CM,256 Commonwealth Ave,02116,42.35011,-71.08314,Constituent Call
101000872356,07/03/2013 09:03:16 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,5 Symphony Rd  Boston  MA  02115,4,10A,8,D4,Fenway / Kenmore / Audubon Circle / Longwood,14,Ward 4,407,R4,5 Symphony Rd,02115,42.34288,-71.08694,Constituent Call
101000865233,06/22/2013 11:59:23 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,60 Manthorne Rd  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,Ward 20,2018,R1,60 Manthorne Rd,02132,42.28916,-71.15157,Constituent Call
101000864117,06/20/2013 01:54:49 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD, ,, ,, , ,, ,, ,,,42.3594,-71.0587,Constituent Call
101000862095,06/18/2013 10:04:51 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,3 Trent St  Dorchester  MA  02125,7,03,3,C11,Dorchester,8,Ward 15,1504,RL,3 Trent St,02125,42.309239,-71.065412,Constituent Call
101000859491,06/13/2013 03:28:00 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,24 Dunwell St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,Ward 20,2005,R1,24 Dunwell St,02132,42.27766,-71.16845,Constituent Call
101000858190,06/12/2013 09:09:24 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,516 Lagrange St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,Ward 20,2013,R1,516 Lagrange St,02132,42.28356,-71.16167,Constituent Call
101000857929,06/11/2013 04:47:54 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,516 Lagrange St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,Ward 20,2013,R1,516 Lagrange St,02132,42.28356,-71.16167,Constituent Call
101000833162,05/03/2013 11:12:12 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,83-85 Cresthill Rd  Brighton  MA  02135,11,04,9,D14,Allston / Brighton,15,Ward 22,2211,R2,83-85 Cresthill Rd,02135,42.355988,-71.157609,Constituent Call
101000832197,05/02/2013 10:04:13 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,169 Endicott St  Boston  MA  02113,3,1B,1,A1,Downtown / Financial District,3,Ward 3,304,A,169 Endicott St,02113,42.36571,-71.05729,Constituent Call
101000828597,04/26/2013 01:14:08 PM,,Open,Case Closed VIOISS: Violation Filed ,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,108 Gladstone St  East Boston  MA  02128,1,09,1,A7,East Boston,1,Ward 1,113,R3,108 Gladstone St,02128,42.38914,-71.0047,Constituent Call
101000826935,04/24/2013 12:02:06 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,64 Newfield St  West Roxbury  MA  02132,12,06,6,E5,West Roxbury,12,Ward 20,2017,R1,64 Newfield St,02132,42.29048,-71.16706,Constituent Call
101000821482,04/12/2013 08:08:29 AM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,33 Edison Grn  Dorchester  MA  02125,7,03,2,C11,Dorchester,5,Ward 7,709,R3,33 Edison Grn,02125,42.31951,-71.05852,Constituent Call
101000818710,04/08/2013 12:16:57 PM,,Open,,Rodent Activity,Inspectional Services,Environmental Services,Rodent Activity,ISD_Environmental Services (INTERNAL),ISD,365 Marlborough St  Boston  MA  02115,4,1C,8,D4,Back Bay,14,Ward 5,509,CM,365 Marlborough St,02115,42.35084,-71.08706,Constituent Call
